closed_at,symbol,timeframe,side,entry_price,exit_price,result,pct,config_version
2026-07-21T14:23:42.504934+00:00,NEAR/USDT,4h,LONG,2.023,1.97,SL,-2.62,v3.7.0
2026-07-24T14:16:29.202648+00:00,INJ/USDT,4h,LONG,5.356,5.175,SL,-3.38,v3.7.0
2026-08-07T15:31:33.919541+00:00,NEAR/USDT,4h,SHORT,1.7,1.614,TP,5.06,v3.7.0
2026-08-10T05:49:36.090991+00:00,AVAX/USDT,4h,SHORT,6.415,6.557,SL,-2.21,v3.7.1
2026-08-11T15:41:58.583177+00:00,BTC/USDT,4h,LONG,64353.6,63431.1,SL,-1.43,v3.7.1
2026-08-12T12:33:14.717392+00:00,AVAX/USDT,4h,SHORT,6.21,6.416,SL,-3.32,v3.7.1
2026-08-13T22:07:07.066391+00:00,LINK/USDT,4h,LONG,8.389,8.893,TP,6.01,v3.7.1
2026-08-19T15:00:13.825366+00:00,BTC/USDT,2h,LONG,64293.1,65895.5,TP,2.49,v3.7.1
2026-08-19T20:56:35.603999+00:00,ETH/USDT,4h,SHORT,2085.16,2205.49,SL,-5.77,v3.7.1
2026-08-19T20:56:37.831796+00:00,ETH/USDT,4h,SHORT,2100.97,2210.82,SL,-5.23,v3.7.1
2026-08-21T08:22:42.594247+00:00,NEAR/USDT,4h,LONG,1.735,1.932,TP,11.35,v3.7.1
2026-08-28T16:00:11.783805+00:00,BTC/USDT,2h,LONG,79440.1,78309.0,SL,-1.42,v3.7.1
2026-08-28T16:25:54.913589+00:00,AVAX/USDT,4h,LONG,7.516,7.206,SL,-4.12,v3.7.1
2026-08-30T23:21:33.463469+00:00,INJ/USDT,4h,LONG,5.268,5.073,SL,-3.70,v3.7.1
2026-09-01T18:45:25.027431+00:00,NEAR/USDT,4h,LONG,1.976,1.888,SL,-4.45,v3.7.1
2026-09-03T14:21:12.415838+00:00,ETH/USDT,4h,LONG,2380.58,2439.55,TP,2.48,v3.7.1
2026-09-03T14:51:45.604859+00:00,AVAX/USDT,4h,SHORT,7.228,7.406,SL,-2.46,v3.7.1
2026-09-05T00:16:27.184437+00:00,NEAR/USDT,4h,LONG,1.958,2.214,TP,13.07,v3.7.1
2026-09-05T00:31:45.050875+00:00,NEAR/USDT,4h,LONG,1.98,2.241,TP,13.18,v3.7.1
2026-09-06T20:51:43.882712+00:00,LINK/USDT,4h,LONG,11.779,13.085,TP,11.09,v3.7.1
2026-09-14T23:52:53.405800+00:00,BTC/USDT,2h,LONG,78952.1,78106.7,SL,-1.07,v3.7.1
2026-09-15T13:52:30.742130+00:00,SOL/USDT,4h,LONG,102.51,99.88,SL,-2.57,v3.7.1
2026-09-15T14:53:35.214052+00:00,ETH/USDT,4h,LONG,2475.15,2393.68,SL,-3.29,v3.7.1
2026-09-15T18:37:28.229400+00:00,ETH/USDT,4h,LONG,2472.77,2374.07,SL,-3.99,v3.7.1
2026-09-17T12:24:15.171632+00:00,ETH/USDT,4h,LONG,2395.53,2462.1,TP,2.78,v3.7.1
2026-09-17T12:24:17.804090+00:00,ETH/USDT,4h,LONG,2391.66,2462.1,TP,2.95,v3.7.1
2026-09-17T14:16:36.651648+00:00,ETH/USDT,4h,LONG,2397.15,2475.28,TP,3.26,v3.7.1
2026-09-17T14:16:39.027299+00:00,ETH/USDT,4h,LONG,2400.77,2474.36,TP,3.07,v3.7.1
2026-09-17T14:26:52.526654+00:00,ETH/USDT,4h,LONG,2407.4,2479.99,TP,3.02,v3.7.1
2026-09-17T17:04:41.187387+00:00,NEAR/USDT,4h,LONG,2.548,3.008,TP,18.05,v3.7.1
2026-09-17T17:04:58.505118+00:00,NEAR/USDT,4h,LONG,2.548,3.008,TP,18.05,v3.7.1
2026-09-18T05:13:02.601871+00:00,ETH/USDT,4h,LONG,2423.27,2492.3,TP,2.85,v3.7.1
2026-09-18T05:13:05.002635+00:00,ETH/USDT,4h,LONG,2421.33,2491.91,TP,2.91,v3.7.1
2026-09-18T05:13:07.292966+00:00,ETH/USDT,4h,LONG,2417.49,2491.45,TP,3.06,v3.7.1
2026-09-18T08:21:22.375031+00:00,ETH/USDT,4h,LONG,2415.49,2502.9,TP,3.62,v3.7.1
2026-09-18T19:22:36.909700+00:00,SOL/USDT,4h,LONG,104.57,113.82,TP,8.85,v3.7.1
